Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,Entertainment,"249,500,000",IN,"86,200","2,700",78,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,Entertainment,"183,500,000",US,"117,400,000","5,300,000","18,500",http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3,CoComelon,Music,"165,500,000",US,"7,000,000","24,700",0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4,SETIndia,Entertainment,"162,600,000",IN,"15,600",166,9,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5,KidsDianaShow,Hobby,"113,500,000",US,"3,900,000","12,400",0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
6,PewDiePie,Action_game,"111,500,000",JP,"2,400,000","197,300","4,900",http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7,LikeNastyaofficial,Lifestyle_(sociology),"107,500,000",US,"2,600,000","28,000",0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,VladandNiki,Hobby,"101,400,000",US,"4,100,000","22,100",0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9,zeemusiccompany,Music_of_Asia,"99,700,000",IN,"74,300","2,600",32,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Entertainment,"97,200,000",US,"184,500","6,300",214,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11,BLACKPINK,Music,"91,300,000",KR,"863,200","146,900","3,400",http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12,GoldminesTelefilms,Entertainment,"89,700,000",IN,"34,600",421,13,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13,SonySAB,Film,"85,400,000",IN,"35,500",615,21,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Lifestyle_(sociology),"80,300,000",US,"164,600",703,35,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15,BTS,Music,"76,500,000",KR,"969,700","180,300","7,400",http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,HYBELABELS,Pop_music,"72,700,000",KR,"440,700","23,900",932,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
17,zeetv,Entertainment,"72,500,000",IN,"7,300",144,1,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
18,Pinkfong,Entertainment,"69,600,000",US,"506,400",397,0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19,ChuChuTV,Film,"67,500,000",IN,"652,100","17,800",0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
20,KondZilla,Hip_hop_music,"66,600,000",BR,"30,400","1,100",4,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
21,colorstv,Entertainment,"66,600,000",IN,"14,700",413,3,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
22,filmigaane,Music,"66,400,000",IN,"33,000",392,18,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
23,TSeriesBhaktiSagar,Music_of_Asia,"62,600,000",IN,"24,900",983,35,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g
24,tipsofficial,Music_of_Asia,"60,900,000",IN,"80,200",935,22,http://youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w
25,MOVIECLIPS,Film,"59,900,000",US,"16,600",231,9,http://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg
26,ElReinoInfantil,Entertainment,"59,700,000",AR,"393,000","2,600",0,http://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA
27,dudeperfect,Lifestyle_(sociology),"59,700,000",US,"5,300,000","156,500","4,200",http://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ
28,aajtak,Society,"58,900,000",IN,"7,600",229,4,http://youtube.com/channel/UCt4t-jeY85JegMlZ-E5UWtA
